Date,ConfirmedCases
1/22/2020,1
1/23/2020,1
1/24/2020,2
1/25/2020,2
1/26/2020,5
1/27/2020,5
1/28/2020,5
1/29/2020,6
1/30/2020,6
1/31/2020,8
2/1/2020,8
2/2/2020,8
2/3/2020,11
2/4/2020,11
2/5/2020,11
2/6/2020,12
2/7/2020,12
2/8/2020,12
2/9/2020,12
2/10/2020,12
2/11/2020,13
2/12/2020,13
2/13/2020,14
2/14/2020,14
2/15/2020,14
2/16/2020,14
2/17/2020,15
2/18/2020,16
2/19/2020,16
2/20/2020,16
2/21/2020,16
2/22/2020,16
2/23/2020,16
2/24/2020,17
2/25/2020,18
2/26/2020,19
2/27/2020,19
2/28/2020,19
2/29/2020,26
3/1/2020,39
3/2/2020,57
3/3/2020,79
3/4/2020,113
3/5/2020,184
3/6/2020,247
3/7/2020,417
3/8/2020,538
3/9/2020,630
3/10/2020,797
3/11/2020,1156
3/12/2020,1596
3/13/2020,2222
3/14/2020,2952
3/15/2020,3234
3/16/2020,4667
3/17/2020,6450
3/18/2020,9156
3/19/2020,13663
3/20/2020,20064
3/21/2020,26056
3/22/2020,34944
3/23/2020,46096
3/24/2020,56714
3/25/2020,68841
3/26/2020,86662
3/27/2020,105253
3/28/2020,127417
3/29/2020,143544
3/30/2020,165698
3/31/2020,192079
4/1/2020,223237
4/2/2020,255516
4/3/2020,287918
4/4/2020,319755
4/5/2020,348998
4/6/2020,380786
4/7/2020,410820
4/8/2020,441879
4/9/2020,477498
4/10/2020,511775
4/11/2020,540699
4/12/2020,566999
4/13/2020,594155
4/14/2020,622470
4/15/2020,648363
4/16/2020,677983
4/17/2020,711000
4/18/2020,738408
4/19/2020,763845
4/20/2020,793953
4/21/2020,820012
4/22/2020,849896
4/23/2020,881853
4/24/2020,913801
4/25/2020,944706
4/26/2020,970666
4/27/2020,995341
4/28/2020,1019922
4/29/2020,1046782
4/30/2020,1076478
5/1/2020,1111364
5/2/2020,1138137
5/3/2020,1161874
5/4/2020,1185670
5/5/2020,1209674
5/6/2020,1234164
5/7/2020,1261898
5/8/2020,1289095
5/9/2020,1313562
5/10/2020,1332309
5/11/2020,1351361
5/12/2020,1374722
5/13/2020,1394746
5/14/2020,1420650
5/15/2020,1445463
5/16/2020,1469549
5/17/2020,1488299
5/18/2020,1510578
5/19/2020,1531062
5/20/2020,1553890
5/21/2020,1579106
5/22/2020,1602973
5/23/2020,1623156
5/24/2020,1643343
5/25/2020,1662433
5/26/2020,1681107
5/27/2020,1699846
5/28/2020,1721115
5/29/2020,1746202
5/30/2020,1769293
5/31/2020,1788188
6/1/2020,1806054
6/2/2020,1826132
6/3/2020,1845295
6/4/2020,1873216
6/5/2020,1899623
6/6/2020,1919919
6/7/2020,1937771
6/8/2020,1954667
6/9/2020,1974969
6/10/2020,1996689
6/11/2020,2018970
6/12/2020,2044522
6/13/2020,2068699
6/14/2020,2087600
6/15/2020,2108597
6/16/2020,2133130
6/17/2020,2160193
6/18/2020,2188415
6/19/2020,2219477
6/20/2020,2251291
6/21/2020,2277139
6/22/2020,2306958
6/23/2020,2345654
6/24/2020,2381915
6/25/2020,2421216
6/26/2020,2470253
6/27/2020,2511009
6/28/2020,2553925
6/29/2020,2595226
6/30/2020,2645048
7/1/2020,2694165
7/2/2020,2749088
7/3/2020,2800599
7/4/2020,2846565
7/5/2020,2900299
7/6/2020,2943447
7/7/2020,3000653
7/8/2020,3060933
7/9/2020,3120605
7/10/2020,3189459
7/11/2020,3249896
7/12/2020,3310017
7/13/2020,3369437
7/14/2020,3435080
7/15/2020,3501077
7/16/2020,3571873
7/17/2020,3638354
7/18/2020,3702679
7/19/2020,3761617
7/20/2020,3822307
7/21/2020,3890422
7/22/2020,3958005
7/23/2020,4025898
7/24/2020,4101045
7/25/2020,4165228
7/26/2020,4221098
7/27/2020,4280782
7/28/2020,4345678
7/29/2020,4409820
7/30/2020,4478971
7/31/2020,4543583
8/1/2020,4601240
8/2/2020,4648280
8/3/2020,4689942
8/4/2020,4751626
8/5/2020,4805977
8/6/2020,4866128
8/7/2020,4926686
8/8/2020,4990709
8/9/2020,5044947
8/10/2020,5096512
8/11/2020,5153553
8/12/2020,5208683
8/13/2020,5260388
8/14/2020,5330542
8/15/2020,5382917
8/16/2020,5417663
8/17/2020,5455441
8/18/2020,5500292
8/19/2020,5546088
8/20/2020,5591263
8/21/2020,5638830
8/22/2020,5684631
8/23/2020,5716558
8/24/2020,5750372
8/25/2020,5793041
8/26/2020,5835022
8/27/2020,5885566
8/28/2020,5931975
8/29/2020,5975229
8/30/2020,6009464
8/31/2020,6042750
9/1/2020,6084648
9/2/2020,6124517
9/3/2020,6169681
9/4/2020,6218007
9/5/2020,6261695
9/6/2020,6290942
9/7/2020,6315601
9/8/2020,6342182
9/9/2020,6375726
9/10/2020,6415266
9/11/2020,6459665
9/12/2020,6505287
9/13/2020,6545754
9/14/2020,6578348
9/15/2020,6615494
9/16/2020,6653663
9/17/2020,6698866
9/18/2020,6749183
9/19/2020,6794985
9/20/2020,6836662
9/21/2020,6868729
9/22/2020,6906794
9/23/2020,6947920
9/24/2020,6996843
9/25/2020,7043917
9/26/2020,7087620
9/27/2020,7121486
9/28/2020,7159066
9/29/2020,7201073
9/30/2020,7239784
10/1/2020,7285935
10/2/2020,7339416
10/3/2020,7388726
10/4/2020,7421966
10/5/2020,7459135
10/6/2020,7503694
10/7/2020,7552803
10/8/2020,7610579
10/9/2020,7665717
10/10/2020,7721039
10/11/2020,7768105
10/12/2020,7810169
10/13/2020,7860139
10/14/2020,7918589
10/15/2020,7981953
10/16/2020,8052224
10/17/2020,8107090
10/18/2020,8159325
10/19/2020,8226818
10/20/2020,8289067
10/21/2020,8349230
10/22/2020,8428844
10/23/2020,8510428
10/24/2020,8588891
10/25/2020,8650182
10/26/2020,8714369
10/27/2020,8791666
10/28/2020,8877694
10/29/2020,8968839
10/30/2020,9068584
10/31/2020,9156210
11/1/2020,9234199
11/2/2020,9315769
11/3/2020,9440537
11/4/2020,9540351
11/5/2020,9668165
11/6/2020,9795344
11/7/2020,9922896
11/8/2020,10042521
11/9/2020,10159686
11/10/2020,10296041
11/11/2020,10442926
11/12/2020,10602037
11/13/2020,10780671
11/14/2020,10946045
11/15/2020,11085606
11/16/2020,11238673
11/17/2020,11403069
11/18/2020,11574857
11/19/2020,11767133
11/20/2020,11968658
11/21/2020,12148835
11/22/2020,12295873
11/23/2020,12477038
11/24/2020,12650435
11/25/2020,12830732
11/26/2020,12948208
11/27/2020,13162854
11/28/2020,13331078
11/29/2020,13471562
11/30/2020,13626612
12/1/2020,13823594
12/2/2020,14019224
12/3/2020,14239554
12/4/2020,14475174
12/5/2020,14697257
12/6/2020,14876687
12/7/2020,15071931
12/8/2020,15298525
12/9/2020,15516788
12/10/2020,15753792
12/11/2020,15992844
12/12/2020,16217487
12/13/2020,16409175
12/14/2020,16618888
12/15/2020,16845247
12/16/2020,17079994
12/17/2020,17320135
12/18/2020,17568358
12/19/2020,17774208
12/20/2020,17961581
12/21/2020,18158201
12/22/2020,18364215
12/23/2020,18585702
12/24/2020,18798605
12/25/2020,18925936
12/26/2020,19143411
12/27/2020,19279388
12/28/2020,19452499
12/29/2020,19658410
12/30/2020,19876790
12/31/2020,20191906
1/1/2021,20370961
1/2/2021,20643196
1/3/2021,20846558
1/4/2021,21032030
1/5/2021,21264847
1/6/2021,21524623
1/7/2021,21810932
1/8/2021,22115110
1/9/2021,22379898
1/10/2021,22590788
1/11/2021,22794628
1/12/2021,23016360
1/13/2021,23245636
1/14/2021,23481228
1/15/2021,23726323
1/16/2021,23943974
1/17/2021,24120605
1/18/2021,24261361
1/19/2021,24418225
1/20/2021,24605635
1/21/2021,24798174
1/22/2021,24989985
1/23/2021,25168234
1/24/2021,25308425
1/25/2021,25437955
1/26/2021,25588937
1/27/2021,25744404
1/28/2021,25911164
1/29/2021,26074953
1/30/2021,26225932
1/31/2021,26338816
2/1/2021,26464054
2/2/2021,26581062
2/3/2021,26705413
2/4/2021,26830449
2/5/2021,26961531
2/6/2021,27078357
2/7/2021,27167804
2/8/2021,27250540
2/9/2021,27345768
2/10/2021,27440955
2/11/2021,27547752
2/12/2021,27648359
2/13/2021,27739162
2/14/2021,27807468
2/15/2021,27862828
2/16/2021,27922070
2/17/2021,27990904
2/18/2021,28063502
2/19/2021,28138693
2/20/2021,28212503
2/21/2021,28267780
2/22/2021,28323192
2/23/2021,28397041
2/24/2021,28472093
2/25/2021,28549373
2/26/2021,28624815
2/27/2021,28696139
2/28/2021,28747887
3/1/2021,28798271
3/2/2021,28856686
3/3/2021,28923734
3/4/2021,28992705
3/5/2021,29060600
3/6/2021,29121676
3/7/2021,29163292
3/8/2021,29207317
3/9/2021,29262812
3/10/2021,29320578
3/11/2021,29382358
3/12/2021,29444986
3/13/2021,29501868
3/14/2021,29541154
3/15/2021,29592066
3/16/2021,29646151
3/17/2021,29705444
3/18/2021,29767838
3/19/2021,29829495
3/20/2021,29888403
3/21/2021,29923779
3/22/2021,29971089
3/23/2021,30023970
3/24/2021,30111665
3/25/2021,30179311
3/26/2021,30255706
3/27/2021,30319864
3/28/2021,30366176
