UID,Country_Region,Date,ConfirmedCases,Fatalities
84001001,US,1/22/2020,1,1
84001003,US,1/23/2020,1,1
84001005,US,1/24/2020,2,1
84001007,US,1/25/2020,2,1
84001009,US,1/26/2020,5,1
84001011,US,1/27/2020,5,1
84001013,US,1/28/2020,5,1
84001015,US,1/29/2020,6,1
84001017,US,1/30/2020,6,1
84001019,US,1/31/2020,8,1
84001021,US,2/1/2020,8,1
84001023,US,2/2/2020,8,1
84001025,US,2/3/2020,11,1
84001027,US,2/4/2020,11,1
84001029,US,2/5/2020,11,1
84001031,US,2/6/2020,12,1
84001033,US,2/7/2020,12,1
84001035,US,2/8/2020,12,1
84001037,US,2/9/2020,12,1
84001039,US,2/10/2020,12,1
84001041,US,2/11/2020,13,1
84001043,US,2/12/2020,13,1
84001045,US,2/13/2020,14,1
84001047,US,2/14/2020,14,1
84001049,US,2/15/2020,14,1
84001051,US,2/16/2020,14,1
84001053,US,2/17/2020,15,1
84001055,US,2/18/2020,16,1
84001057,US,2/19/2020,16,1
84001059,US,2/20/2020,16,1
84001061,US,2/21/2020,16,1
84001063,US,2/22/2020,16,1
84001065,US,2/23/2020,16,1
84001067,US,2/24/2020,17,1
84001069,US,2/25/2020,18,1
84001071,US,2/26/2020,19,1
84001073,US,2/27/2020,19,1
84001075,US,2/28/2020,19,1
84001077,US,2/29/2020,26,2
84001079,US,3/1/2020,39,2
84001081,US,3/2/2020,57,7
84001083,US,3/3/2020,79,8
84001085,US,3/4/2020,113,12
84001087,US,3/5/2020,184,13
84001089,US,3/6/2020,247,15
84001091,US,3/7/2020,417,18
84001093,US,3/8/2020,538,22
84001095,US,3/9/2020,630,24
84001097,US,3/10/2020,797,29
84001099,US,3/11/2020,1156,34
84001101,US,3/12/2020,1596,45
84001103,US,3/13/2020,2222,52
84080001,US,3/14/2020,2952,61
84001105,US,3/15/2020,3234,72
84001107,US,3/16/2020,4667,97
84001109,US,3/17/2020,6450,133
84001111,US,3/18/2020,9156,198
84001113,US,3/19/2020,13663,273
84001117,US,3/20/2020,20064,378
84001115,US,3/21/2020,26056,482
84001119,US,3/22/2020,34944,603
84001121,US,3/23/2020,46096,790
84001123,US,3/24/2020,56714,1033
84001125,US,3/25/2020,68841,1366
84090001,US,3/26/2020,86662,1783
84001127,US,3/27/2020,105253,2305
84001129,US,3/28/2020,127417,3018
84001131,US,3/29/2020,143544,3573
84001133,US,3/30/2020,165698,4280
84002013,US,3/31/2020,192079,5359
84002016,US,4/1/2020,223237,6635
84002020,US,4/2/2020,255516,8142
84002050,US,4/3/2020,287918,9562
84002060,US,4/4/2020,319755,11165
84002164,US,4/5/2020,348998,12781
84002063,US,4/6/2020,380786,14523
84002066,US,4/7/2020,410820,17099
84002068,US,4/8/2020,441879,19249
84002070,US,4/9/2020,477498,21463
84002090,US,4/10/2020,511775,23649
84002100,US,4/11/2020,540699,25785
