UID,Country_Region,Date,ConfirmedCases,Fatalities
84001001,US,1/22/20,0,0
84001003,US,1/23/20,0,0
84001005,US,1/24/20,1,0
84001007,US,1/25/20,1,0
84001009,US,1/26/20,4,0
84001011,US,1/27/20,4,0
84001013,US,1/28/20,4,0
84001015,US,1/29/20,4,0
84001017,US,1/30/20,4,0
84001019,US,1/31/20,6,0
84001021,US,2/1/20,6,0
84001023,US,2/2/20,6,0
84001025,US,2/3/20,9,0
84001027,US,2/4/20,9,0
84001029,US,2/5/20,9,0
84001031,US,2/6/20,9,0
84001033,US,2/7/20,9,0
84001035,US,2/8/20,9,0
84001037,US,2/9/20,9,0
84001039,US,2/10/20,9,0
84001041,US,2/11/20,10,0
84001043,US,2/12/20,10,0
84001045,US,2/13/20,11,0
84001047,US,2/14/20,11,0
84001049,US,2/15/20,11,0
84001051,US,2/16/20,11,0
84001053,US,2/17/20,12,0
84001055,US,2/18/20,13,0
84001057,US,2/19/20,13,0
84001059,US,2/20/20,13,0
84001061,US,2/21/20,13,0
84001063,US,2/22/20,13,0
84001065,US,2/23/20,13,0
84001067,US,2/24/20,14,0
84001069,US,2/25/20,15,0
84001071,US,2/26/20,16,0
84001073,US,2/27/20,16,0
84001075,US,2/28/20,16,0
84001077,US,2/29/20,16,0
84001079,US,3/1/20,23,0
84001081,US,3/2/20,29,0
84001083,US,3/3/20,38,0
84001085,US,3/4/20,49,1
84001087,US,3/5/20,63,1
84001089,US,3/6/20,90,1
84001091,US,3/7/20,126,1
84001093,US,3/8/20,150,3
84001095,US,3/9/20,186,4
84001097,US,3/10/20,235,4
84001099,US,3/11/20,317,6
84001101,US,3/12/20,401,9
84001103,US,3/13/20,552,9
84080001,US,3/14/20,740,10
84001105,US,3/15/20,877,12
84001107,US,3/16/20,1186,13
84001109,US,3/17/20,1598,20
84001111,US,3/18/20,2164,33
84001113,US,3/19/20,3020,54
84001117,US,3/20/20,4075,67
84001115,US,3/21/20,4948,81
84001119,US,3/22/20,6358,109
84001121,US,3/23/20,7786,124
